City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
Sulam,IL,75.99,clear sky,32.61,35.33,בורגוס בורגר בר
Namatanai,PG,86.16,clear sky,-3.67,152.43,Namatanai Hotel
Phuket,TH,86.0,few clouds,8.0,98.25,The Surin Phuket
Aswan,EG,82.17,clear sky,24.09,32.91,Nuba Nile
Kapaa,US,82.4,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Atuona,PF,80.47,clear sky,-9.8,-139.03,Villa Enata
Cockburn Town,TC,82.53,clear sky,21.46,-71.14,Osprey Beach Hotel
Saskylakh,RU,88.5,clear sky,71.92,114.08,
Ternate,ID,82.72,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
Hami,CN,88.29,clear sky,42.8,93.45,Laoyutang Resort
Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
Hasaki,JP,82.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
Muisne,EC,75.7,overcast clouds,0.6,-80.03,Quinta Samay
Jeremie,HT,81.93,broken clouds,18.65,-74.12,Auberge Inn
Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
Kupang,ID,84.07,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
Yumen,CN,83.48,clear sky,40.28,97.2,
Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
Chernyy Yar,RU,75.52,overcast clouds,48.06,46.11,Stanitsa Chernoyarskaya
Cabo San Lucas,MX,82.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
Fare,PF,76.82,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
Kathmandu,NP,75.2,broken clouds,27.72,85.32,Hotel Shanker Kathmandu
Hambantota,LK,85.33,clear sky,6.12,81.12,Bungalow 63
Kutum,SD,75.4,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
Vitim,RU,82.4,broken clouds,59.45,112.56,Gostinitsa V Apteke
Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
Tual,ID,79.57,overcast clouds,-5.67,132.75,Grand Vilia Hotel
Harper,LR,75.78,broken clouds,4.38,-7.72,Screensaver
Kavaratti,IN,83.98,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
Mayo,US,78.01,clear sky,38.89,-76.51,Resorts Resource Group International
Hithadhoo,MV,84.65,clear sky,-0.6,73.08,Scoop Guest House
Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
Meadow Lake,US,87.8,scattered clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
Port Moresby,PG,84.2,haze,-9.44,147.18,Lamana Hotel
